product_id,source_product_id,catalog_id,category_id,category_code,category_code_source,product_name_length,product_description_length,product_photos_qty,product_weight_g
920748531850,1e9e8ef04dbcff4541ed26657ea517e5,cat-39156101,8039156101,perfumaria,perfumaria,40,287,1,225
876213916068,3aa071139cb16b67ca9e5dea641aaa2f,cat-66794745,8466794745,artes,artes,44,276,1,1000
157243706636,96bd76ec8810374ed1b65e291975717f,cat-28309979,1228309979,esporte_lazer,esporte_lazer,46,250,1,154
984069565300,cef67bcfe19066a932b7673e239eb23d,cat-03345107,5103345107,bebes,bebes,27,261,1,371
762908790776,9dc1a7de274444849c219cff195d0b71,cat-30245737,7830245737,utilidades_domesticas,utilidades_domesticas,37,402,4,625
248784052703,41d3672d4792049fa1779bb35283ed13,cat-39173559,3239173559,instrumentos_musicais,instrumentos_musicais,60,745,1,200
451968861881,732bd381ad09e530fe0a5f457d81becb,cat-24178479,8124178479,cool_stuff,cool_stuff,56,1272,4,18350
762152848479,2548af3e6e77a690cf3eb6368e9ab61e,cat-68309419,7768309419,moveis_decoracao,moveis_decoracao,56,184,2,900
65336250208,37cc742be07708b53a98702e77a21a02,cat-50927587,4350927587,eletrodomesticos,eletrodomesticos,57,163,1,400
427429413088,8c92109888e8cdf9d66dc7e463025574,cat-57247972,2357247972,brinquedos,brinquedos,36,1156,1,600
992370543659,14aa47b7fe5c25522b47b4b29c98dcb9,cat-10220403,3010220403,cama_mesa_banho,cama_mesa_banho,54,630,1,1100
971238314066,03b63c5fc16691530586ae020c345514,cat-03345107,5103345107,bebes,bebes,49,728,4,7150
721460202503,cf55509ea8edaaac1d28fdb16e48fc22,cat-39173559,3239173559,instrumentos_musicais,instrumentos_musicais,43,1827,3,250
471480199236,7bb6f29c2be57716194f96496660c7c2,cat-68309419,7768309419,moveis_decoracao,moveis_decoracao,51,2083,2,600
308954767472,eb31436580a610f202c859463d8c7415,cat-87545052,1387545052,construcao_ferramentas_seguranca,construcao_ferramentas_seguranca,59,1602,4,200
762510365078,3bb7f144022e6732727d8d838a7b13b3,cat-28309979,1228309979,esporte_lazer,esporte_lazer,22,3021,1,800
